year,total_patents,growth_rate
1976,36,
1977,42,0.16666666666666674
1978,45,0.0714285714285714
1979,28,-0.37777777777777777
1980,17,-0.3928571428571429
1981,12,-0.2941176470588235
1982,14,0.16666666666666674
1983,22,0.5714285714285714
1984,34,0.5454545454545454
1985,26,-0.23529411764705888
1986,49,0.8846153846153846
1987,42,-0.1428571428571429
1988,40,-0.04761904761904767
1989,29,-0.275
1990,33,0.13793103448275867
1991,40,0.21212121212121215
1992,54,0.3500000000000001
1993,69,0.2777777777777777
1994,103,0.49275362318840576
1995,111,0.07766990291262132
1996,217,0.954954954954955
1997,195,-0.10138248847926268
1998,444,1.2769230769230768
1999,688,0.5495495495495495
2000,824,0.19767441860465107
2001,797,-0.03276699029126218
2002,781,-0.020075282308657516
2003,663,-0.1510883482714469
2004,513,-0.2262443438914027
2005,414,-0.19298245614035092
2006,468,0.13043478260869557
2007,384,-0.17948717948717952
2008,411,0.0703125
2009,485,0.18004866180048662
2010,794,0.6371134020618556
2011,969,0.2204030226700251
2012,1182,0.2198142414860682
2013,1326,0.12182741116751261
2014,1697,0.2797888386123679
2015,1561,-0.08014142604596342
2016,1705,0.09224855861627157
2017,1599,-0.062170087976539556
2018,1376,-0.13946216385240773
2019,1632,0.18604651162790709
2020,1391,-0.147671568627451
2021,1404,0.009345794392523255
2022,1418,0.009971509971509862
2023,1208,-0.14809590973201692
2024,1549,0.2822847682119205
2025,1177,-0.24015493867010973
