feature,feature_group,missing_count,mean,std,correlation_with_total_patents,abs_correlation_with_total_patents
title_has_acronym,title_feature,0,0.1091,0.0688,0.7934,0.7934
title_has_number,title_feature,0,0.0098,0.0117,0.7773,0.7773
kw_cloud_edge_share,keyword_share,0,0.0089,0.0102,0.7066,0.7066
keyword_score,title_feature,0,0.5217,0.1231,0.6163,0.6163
kw_antenna_share,keyword_share,0,0.0289,0.0203,0.6016,0.6016
kw_iot_share,keyword_share,0,0.0021,0.003,0.5866,0.5866
is_design_share,patent_type_share,0,0.0555,0.0793,-0.5587,0.5587
is_utility_share,patent_type_share,0,0.9435,0.0789,0.5539,0.5539
kw_network_share,keyword_share,0,0.3561,0.0949,0.5201,0.5201
kw_5g_share,keyword_share,0,0.0032,0.0089,0.4658,0.4658
kw_ai_ml_share,keyword_share,0,0.0024,0.0036,0.4292,0.4292
is_other_type_share,patent_type_share,0,0.001,0.0016,0.3837,0.3837
kw_security_share,keyword_share,0,0.0086,0.0084,0.2969,0.2969
title_len_chars,title_feature,0,63.347,4.0308,0.2681,0.2681
kw_data_share,keyword_share,0,0.0661,0.0321,-0.1175,0.1175
kw_energy_share,keyword_share,0,0.0455,0.0251,0.035,0.035
title_len_words,title_feature,0,8.8094,0.615,0.0186,0.0186
