year,kw_5g_share,kw_ai_ml_share,kw_cloud_edge_share,kw_security_share,kw_iot_share,kw_network_share,kw_energy_share,kw_antenna_share,kw_data_share
1976,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.05555555555555555,0.0,0.16666666666666666
1977,0.0,0.0,0.0,0.023809523809523808,0.0,0.14285714285714285,0.023809523809523808,0.023809523809523808,0.047619047619047616
1978,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.022222222222222223,0.0,0.13333333333333333
1979,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.03571428571428571,0.10714285714285714
1980,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.058823529411764705,0.0,0.11764705882352941
1981,0.0,0.0,0.0,0.0,0.0,0.5,0.08333333333333333,0.0,0.08333333333333333
1982,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.14285714285714285
1983,0.0,0.0,0.0,0.0,0.0,0.22727272727272727,0.0,0.0,0.045454545454545456
1984,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.029411764705882353,0.0,0.029411764705882353
1985,0.0,0.0,0.038461538461538464,0.0,0.0,0.3076923076923077,0.0,0.0,0.038461538461538464
1986,0.0,0.0,0.0,0.0,0.0,0.16326530612244897,0.02040816326530612,0.0,0.061224489795918366
1987,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.047619047619047616,0.0,0.0
1988,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.025,0.05
1989,0.0,0.0,0.0,0.0,0.0,0.3793103448275862,0.10344827586206896,0.0,0.06896551724137931
1990,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.09090909090909091,0.030303030303030304,0.12121212121212122
1991,0.0,0.0,0.0,0.025,0.0,0.275,0.025,0.0,0.1
1992,0.0,0.0,0.0,0.037037037037037035,0.0,0.46296296296296297,0.018518518518518517,0.018518518518518517,0.0
1993,0.0,0.0,0.0,0.0,0.0,0.30434782608695654,0.057971014492753624,0.043478260869565216,0.0
1994,0.0,0.0,0.0,0.009708737864077669,0.0,0.4077669902912621,0.08737864077669903,0.0,0.02912621359223301
1995,0.0,0.009009009009009009,0.0,0.009009009009009009,0.0,0.43243243243243246,0.036036036036036036,0.018018018018018018,0.036036036036036036
1996,0.0,0.009216589861751152,0.0,0.013824884792626729,0.0,0.4147465437788018,0.055299539170506916,0.02304147465437788,0.08294930875576037
1997,0.0,0.0,0.005128205128205128,0.015384615384615385,0.005128205128205128,0.3333333333333333,0.07179487179487179,0.02564102564102564,0.046153846153846156
1998,0.0,0.0045045045045045045,0.009009009009009009,0.006756756756756757,0.0,0.3063063063063063,0.0945945945945946,0.036036036036036036,0.06306306306306306
1999,0.0,0.0029069767441860465,0.005813953488372093,0.0029069767441860465,0.00436046511627907,0.3808139534883721,0.050872093023255814,0.061046511627906974,0.06540697674418605
2000,0.0,0.0024271844660194173,0.0012135922330097086,0.0012135922330097086,0.0012135922330097086,0.3313106796116505,0.06067961165048544,0.0691747572815534,0.05339805825242718
2001,0.0,0.0,0.005018820577164366,0.002509410288582183,0.002509410288582183,0.30363864491844417,0.06775407779171895,0.05771643663739021,0.06900878293601004
2002,0.0,0.0038412291933418692,0.0076824583866837385,0.0038412291933418692,0.0038412291933418692,0.32522407170294493,0.08066581306017925,0.040973111395646605,0.05377720870678617
2003,0.0,0.0030165912518853697,0.00904977375565611,0.004524886877828055,0.0030165912518853697,0.358974358974359,0.06485671191553545,0.03469079939668175,0.07239819004524888
2004,0.0,0.0,0.015594541910331383,0.01364522417153996,0.0,0.3684210526315789,0.05458089668615984,0.023391812865497075,0.07992202729044834
2005,0.0,0.0024154589371980675,0.00966183574879227,0.012077294685990338,0.0,0.3695652173913043,0.04830917874396135,0.04106280193236715,0.08454106280193237
2006,0.0,0.002136752136752137,0.00641025641025641,0.019230769230769232,0.0,0.3803418803418803,0.0405982905982906,0.04487179487179487,0.06623931623931624
2007,0.0,0.0,0.010416666666666666,0.018229166666666668,0.0026041666666666665,0.3072916666666667,0.06770833333333333,0.03125,0.08072916666666667
2008,0.0,0.004866180048661801,0.004866180048661801,0.004866180048661801,0.004866180048661801,0.30413625304136255,0.051094890510948905,0.06569343065693431,0.06326034063260341
2009,0.0,0.004123711340206186,0.012371134020618556,0.006185567010309278,0.004123711340206186,0.27628865979381445,0.032989690721649485,0.04742268041237113,0.05979381443298969
2010,0.0,0.0012594458438287153,0.005037783375314861,0.011335012594458438,0.0025188916876574307,0.28085642317380355,0.05037783375314862,0.05163727959697733,0.0743073047858942
2011,0.0,0.0,0.010319917440660475,0.009287925696594427,0.005159958720330237,0.2961816305469556,0.054695562435500514,0.038183694530443756,0.06501547987616099
2012,0.0,0.001692047377326565,0.017766497461928935,0.009306260575296108,0.0025380710659898475,0.33587140439932317,0.043993231810490696,0.02961082910321489,0.06683587140439932
2013,0.0,0.0030165912518853697,0.016591251885369532,0.011312217194570135,0.0015082956259426848,0.40497737556561086,0.053544494720965306,0.03469079939668175,0.049019607843137254
2014,0.0005892751915144372,0.005303476723629935,0.015910430170889805,0.01060695344725987,0.0,0.41484973482616383,0.049499116087212726,0.02946375957572186,0.06599882144961697
2015,0.0,0.0019218449711723255,0.015374759769378604,0.007046764894298526,0.0012812299807815502,0.45932094811018576,0.05509288917360666,0.04228058936579116,0.06213965406790519
2016,0.0,0.0005865102639296188,0.0187683284457478,0.012316715542521995,0.0,0.45161290322580644,0.05571847507331378,0.03519061583577713,0.06041055718475073
2017,0.0,0.0031269543464665416,0.01125703564727955,0.0075046904315197,0.001876172607879925,0.48592870544090055,0.04690431519699812,0.028142589118198873,0.06441525953721075
2018,0.0,0.0014534883720930232,0.013808139534883721,0.00872093023255814,0.0014534883720930232,0.4876453488372093,0.0377906976744186,0.0377906976744186,0.057412790697674417
2019,0.003676470588235294,0.0030637254901960784,0.01715686274509804,0.011029411764705883,0.0055147058823529415,0.45894607843137253,0.025122549019607844,0.04044117647058824,0.0661764705882353
2020,0.011502516175413372,0.0007189072609633358,0.023005032350826744,0.011502516175413372,0.0050323508267433505,0.46225736879942486,0.03378864126527678,0.04601006470165349,0.058231488138030196
2021,0.019230769230769232,0.004273504273504274,0.023504273504273504,0.013532763532763533,0.009259259259259259,0.448005698005698,0.03561253561253561,0.045584045584045586,0.05270655270655271
2022,0.03314527503526093,0.003526093088857546,0.029619181946403384,0.01904090267983075,0.010578279266572637,0.44781382228490835,0.03737658674188998,0.04866008462623413,0.06064880112834979
2023,0.03228476821192053,0.009933774834437087,0.028145695364238412,0.01903973509933775,0.008278145695364239,0.4544701986754967,0.030629139072847682,0.04470198675496689,0.058774834437086095
2024,0.0329244673983215,0.014202711426726921,0.029051000645577793,0.018076178179470628,0.008392511297611363,0.4228534538411879,0.025177533892834086,0.051000645577792124,0.0671400903808909
2025,0.025488530161427356,0.015293118096856415,0.029736618521665252,0.01954120645709431,0.009345794392523364,0.4205607476635514,0.0356839422259983,0.044180118946474084,0.05777400169923534
