scheme,model,year,predicted_total_patents
no_segmentation,Linear Regression,2026,1270.4951710311473
no_segmentation,Random Forest,2026,1392.8584206349208
non_text_kmeans,Linear Regression,2026,1305.1755
non_text_kmeans,Random Forest,2026,1467.8696
text_embedding_kmeans,Linear Regression,2026,1313.902
text_embedding_kmeans,Random Forest,2026,1448.7947
no_segmentation,Linear Regression,2027,1233.1064152002966
no_segmentation,Random Forest,2027,1380.04730952381
non_text_kmeans,Linear Regression,2027,1328.6818
non_text_kmeans,Random Forest,2027,1366.0898
text_embedding_kmeans,Linear Regression,2027,1343.696
text_embedding_kmeans,Random Forest,2027,1329.7806
no_segmentation,Linear Regression,2028,1273.9772935036378
no_segmentation,Random Forest,2028,1359.5675753968255
non_text_kmeans,Linear Regression,2028,1400.2696
non_text_kmeans,Random Forest,2028,1342.5426
text_embedding_kmeans,Linear Regression,2028,1414.5467
text_embedding_kmeans,Random Forest,2028,1354.0323
no_segmentation,Linear Regression,2029,1281.5097547788966
no_segmentation,Random Forest,2029,1375.4619206349207
non_text_kmeans,Linear Regression,2029,1451.2754
non_text_kmeans,Random Forest,2029,1399.1929
text_embedding_kmeans,Linear Regression,2029,1468.1989
text_embedding_kmeans,Random Forest,2029,1380.556
no_segmentation,Linear Regression,2030,1307.980462515293
no_segmentation,Random Forest,2030,1375.4619206349207
non_text_kmeans,Linear Regression,2030,1507.4533
non_text_kmeans,Random Forest,2030,1348.6727
text_embedding_kmeans,Linear Regression,2030,1524.7602
text_embedding_kmeans,Random Forest,2030,1327.4873
