year,cluster_0,cluster_1
1976,36,0
1977,38,4
1978,41,4
1979,24,4
1980,12,5
1981,11,1
1982,12,2
1983,15,7
1984,26,8
1985,23,3
1986,38,11
1987,40,2
1988,38,2
1989,28,1
1990,25,8
1991,39,1
1992,54,0
1993,68,1
1994,97,6
1995,105,6
1996,215,2
1997,188,7
1998,420,24
1999,662,26
2000,776,48
2001,780,17
2002,768,13
2003,657,6
2004,506,7
2005,404,10
2006,455,13
2007,368,16
2008,399,12
2009,459,26
2010,763,31
2011,943,26
2012,1178,4
2013,1326,0
2014,1697,0
2015,1561,0
2016,1702,3
2017,1598,1
2018,1375,1
2019,1631,1
2020,1390,1
2021,1402,2
2022,1416,2
2023,1208,0
2024,1548,1
2025,1177,0
