scheme,model,cluster,year,predicted_cluster_patents
text_embedding_kmeans,Linear Regression,cluster_0,2026,1233.9466
text_embedding_kmeans,Linear Regression,cluster_0,2027,1260.4218
text_embedding_kmeans,Linear Regression,cluster_0,2028,1325.9292
text_embedding_kmeans,Linear Regression,cluster_0,2029,1375.2394
text_embedding_kmeans,Linear Regression,cluster_0,2030,1427.524
text_embedding_kmeans,Random Forest,cluster_0,2026,1363.6192
text_embedding_kmeans,Random Forest,cluster_0,2027,1254.5967
text_embedding_kmeans,Random Forest,cluster_0,2028,1281.0661
text_embedding_kmeans,Random Forest,cluster_0,2029,1309.8294
text_embedding_kmeans,Random Forest,cluster_0,2030,1257.6571
text_embedding_kmeans,Linear Regression,cluster_1,2026,79.9554
text_embedding_kmeans,Linear Regression,cluster_1,2027,83.2742
text_embedding_kmeans,Linear Regression,cluster_1,2028,88.6175
text_embedding_kmeans,Linear Regression,cluster_1,2029,92.9594
text_embedding_kmeans,Linear Regression,cluster_1,2030,97.2362
text_embedding_kmeans,Random Forest,cluster_1,2026,85.1755
text_embedding_kmeans,Random Forest,cluster_1,2027,75.1839
text_embedding_kmeans,Random Forest,cluster_1,2028,72.9662
text_embedding_kmeans,Random Forest,cluster_1,2029,70.7267
text_embedding_kmeans,Random Forest,cluster_1,2030,69.8302
text_embedding_kmeans,Linear Regression,aggregated_total,2026,1313.902
text_embedding_kmeans,Linear Regression,aggregated_total,2027,1343.696
text_embedding_kmeans,Linear Regression,aggregated_total,2028,1414.5467
text_embedding_kmeans,Linear Regression,aggregated_total,2029,1468.1989
text_embedding_kmeans,Linear Regression,aggregated_total,2030,1524.7602
text_embedding_kmeans,Random Forest,aggregated_total,2026,1448.7947
text_embedding_kmeans,Random Forest,aggregated_total,2027,1329.7806
text_embedding_kmeans,Random Forest,aggregated_total,2028,1354.0323
text_embedding_kmeans,Random Forest,aggregated_total,2029,1380.556
text_embedding_kmeans,Random Forest,aggregated_total,2030,1327.4873
non_text_kmeans,Linear Regression,cluster_0,2026,1303.1772
non_text_kmeans,Linear Regression,cluster_0,2027,1325.2028
non_text_kmeans,Linear Regression,cluster_0,2028,1396.0165
non_text_kmeans,Linear Regression,cluster_0,2029,1446.6905
non_text_kmeans,Linear Regression,cluster_0,2030,1502.6047
non_text_kmeans,Random Forest,cluster_0,2026,1466.8984
non_text_kmeans,Random Forest,cluster_0,2027,1365.2592
non_text_kmeans,Random Forest,cluster_0,2028,1341.7514
non_text_kmeans,Random Forest,cluster_0,2029,1398.3842
non_text_kmeans,Random Forest,cluster_0,2030,1347.8816
non_text_kmeans,Linear Regression,cluster_1,2026,1.9983
non_text_kmeans,Linear Regression,cluster_1,2027,3.479
non_text_kmeans,Linear Regression,cluster_1,2028,4.2531
non_text_kmeans,Linear Regression,cluster_1,2029,4.5849
non_text_kmeans,Linear Regression,cluster_1,2030,4.8486
non_text_kmeans,Random Forest,cluster_1,2026,0.9712
non_text_kmeans,Random Forest,cluster_1,2027,0.8306
non_text_kmeans,Random Forest,cluster_1,2028,0.7911
non_text_kmeans,Random Forest,cluster_1,2029,0.8087
non_text_kmeans,Random Forest,cluster_1,2030,0.7911
non_text_kmeans,Linear Regression,aggregated_total,2026,1305.1755
non_text_kmeans,Linear Regression,aggregated_total,2027,1328.6818
non_text_kmeans,Linear Regression,aggregated_total,2028,1400.2696
non_text_kmeans,Linear Regression,aggregated_total,2029,1451.2754
non_text_kmeans,Linear Regression,aggregated_total,2030,1507.4533
non_text_kmeans,Random Forest,aggregated_total,2026,1467.8696
non_text_kmeans,Random Forest,aggregated_total,2027,1366.0898
non_text_kmeans,Random Forest,aggregated_total,2028,1342.5426
non_text_kmeans,Random Forest,aggregated_total,2029,1399.1929
non_text_kmeans,Random Forest,aggregated_total,2030,1348.6727
